"","GEO.display.label","PROP_BA_2010","PROP_BA_2011","PROP_BA_2012","PROP_BA_2013","PROP_BA_2009","PROP_MHI_2010","PROP_MHI_2011","PROP_MHI_2012","PROP_MHI_2013","PROP_MHI_2009","PROP_MHV_2010","PROP_MHV_2011","PROP_MHV_2012","PROP_MHV_2013","PROP_MHV_2009"
"1","Census Tract 1, District of Columbia, District of Columbia","67.5","68.9","68.9","79.0",0.329765047135605,"109947","136842","136842","146161","122455","1,000,000+","1,000,000+","1,000,000+","1,000,000+","1,000,000+"
"2","Census Tract 10.01, District of Columbia, District of Columbia","27.5","19.2","19.2","21.6",0.266666553710607,"142697","147500","147500","156786","136121","836900","844400","844400","846600","817700"
"3","Census Tract 10.02, District of Columbia, District of Columbia","35.8","32.9","32.9","15.2",0.237334912536443,"85543","89119","89119","84063","84310","453100","463600","463600","436000","437000"
"4","Census Tract 11, District of Columbia, District of Columbia","43.1","40.9","40.9","60.1",0.303644328401509,"141607","128909","128909","129118","154340","784400","826700","826700","849500","805100"
"5","Census Tract 12, District of Columbia, District of Columbia","66.7","77.6","77.6","72.0",0.325019364092756,"93785","109405","109405","105262","110625","728000","760100","760100","762500","738100"
"6","Census Tract 13.01, District of Columbia, District of Columbia","77.0","70.6","70.6","68.8",0.267904788574629,"88981","79098","79098","109567","101366","1,000,000+","1,000,000+","1,000,000+","1,000,000+","982100"
"7","Census Tract 13.02, District of Columbia, District of Columbia","88.7","80.8","80.8","62.9",0.344157715260017,"78961","78140","78140","83583","79223","422100","408800","408800","407400","383000"
"8","Census Tract 14.01, District of Columbia, District of Columbia","53.8","41.9","41.9","47.9",0.316970409404135,"109609","126576","126576","120417","103529","922000","905800","905800","922800","911000"
"9","Census Tract 14.02, District of Columbia, District of Columbia","0.0","12.9","12.9","68.4",0.263984070091597,"100750","87826","87826","105568","88194","720600","756100","756100","775500","765400"
"10","Census Tract 15, District of Columbia, District of Columbia","63.9","46.9","46.9","53.4",0.249941605839416,"179125","179859","179859","204333","180536","851100","849600","849600","896600","840700"
"11","Census Tract 16, District of Columbia, District of Columbia","43.0","46.5","46.5","27.9",0.248700801424755,"133824","135403","135403","140688","137434","716800","710200","710200","709900","701600"
"12","Census Tract 17.02, District of Columbia, District of Columbia","33.3","29.7","29.7","16.3",0.218146073036518,"91989","106154","106154","98657","86979","419800","443000","443000","415700","380900"
"13","Census Tract 18.03, District of Columbia, District of Columbia","6.2","20.7","20.7","18.4",0.190340202177294,"35350","38000","38000","44335","38821","451600","513200","513200","466900","428400"
"14","Census Tract 18.04, District of Columbia, District of Columbia","0.0","0.0","0.0","12.0",0.159314855185301,"40281","38007","38007","42476","35168","462300","465500","465500","422300","474800"
"15","Census Tract 19.01, District of Columbia, District of Columbia","12.4","12.8","12.8","8.0",0.205216606498195,"48073","53750","53750","78662","52031","400300","387000","387000","379200","403200"
"16","Census Tract 19.02, District of Columbia, District of Columbia","23.6","30.9","30.9","31.4",0.26155561412757,"72273","64196","64196","74625","63191","423400","407100","407100","409300","408700"
"17","Census Tract 2.01, District of Columbia, District of Columbia","0.0","0.4","0.4","0.2",0.0109581225407532,"-","-","-","-","119722","-","-","-","-","916700"
"18","Census Tract 2.02, District of Columbia, District of Columbia","5.5","11.3","11.3","21.7",0.286503382949932,"120114","135893","135893","149375","119688","1,000,000+","1,000,000+","1,000,000+","1,000,000+","958300"
"19","Census Tract 20.01, District of Columbia, District of Columbia","40.4","34.9","34.9","31.0",0.188724826388889,"43478","47878","47878","49006","38682","654900","753300","753300","675800","728700"
"20","Census Tract 20.02, District of Columbia, District of Columbia","17.0","12.3","12.3","24.4",0.225090853284223,"53373","56808","56808","59840","73500","614400","589600","589600","483300","644000"
"21","Census Tract 21.01, District of Columbia, District of Columbia","9.5","10.9","10.9","13.1",0.0996379919273461,"41886","43769","43769","45987","44792","347700","338400","338400","323200","353900"
"22","Census Tract 21.02, District of Columbia, District of Columbia","0.0","0.0","0.0","6.8",0.129726808281796,"42522","45046","45046","50142","48875","384700","374900","374900","366300","378300"
"23","Census Tract 22.01, District of Columbia, District of Columbia","11.1","17.6","17.6","23.8",0.129658657513349,"70541","60882","60882","68170","68382","415400","377000","377000","367200","407600"
"24","Census Tract 22.02, District of Columbia, District of Columbia","25.3","32.4","32.4","22.4",0.162848557692308,"42283","44096","44096","41875","40253","340900","346000","346000","341500","336600"
"25","Census Tract 23.01, District of Columbia, District of Columbia","13.7","14.4","14.4","15.1",0.155781331028522,"61500","54167","54167","66509","74700","385000","395600","395600","373400","384600"
"26","Census Tract 23.02, District of Columbia, District of Columbia","13.8","15.3","15.3","5.1",0.20439447102605,"43342","54022","54022","60263","73826","336500","337700","337700","305900","291000"
"27","Census Tract 24, District of Columbia, District of Columbia","15.7","26.1","26.1","13.7",0.148391432791728,"60082","63342","63342","65227","55486","410000","420600","420600","438400","386600"
"28","Census Tract 25.01, District of Columbia, District of Columbia","20.2","31.3","31.3","27.9",0.122783582089552,"48750","32067","32067","30694","51750","588800","585300","585300","593100","607000"
"29","Census Tract 25.02, District of Columbia, District of Columbia","17.5","18.7","18.7","19.6",0.154081896551724,"42199","42604","42604","54018","43971","466000","459200","459200","448100","496700"
"30","Census Tract 26, District of Columbia, District of Columbia","42.2","40.5","40.5","29.7",0.30532530765115,"144141","126944","126944","126597","140938","874200","869600","869600","863200","842200"
"31","Census Tract 27.01, District of Columbia, District of Columbia","70.8","83.9","83.9","69.5",0.275214487096075,"58617","58659","58659","65633","57985","563600","578800","578800","607100","593400"
"32","Census Tract 27.02, District of Columbia, District of Columbia","60.1","49.3","49.3","45.4",0.26632073145675,"95490","99524","99524","100000","95488","768200","792000","792000","790500","772500"
"33","Census Tract 28.01, District of Columbia, District of Columbia","3.1","4.4","4.4","21.9",0.113441762452107,"43661","46393","46393","49232","41458","477900","428000","428000","426500","448600"
"34","Census Tract 28.02, District of Columbia, District of Columbia","23.7","40.5","40.5","35.1",0.14593141852286,"41453","45625","45625","46421","39424","360600","361200","361200","439200","411000"
"35","Census Tract 29, District of Columbia, District of Columbia","43.2","44.6","44.6","38.3",0.194140557275542,"56000","60861","60861","82120","52857","506200","538400","538400","538400","543600"
"36","Census Tract 3, District of Columbia, District of Columbia","66.6","64.1","64.1","47.0",0.370995159059474,"101250","99063","99063","111289","91804","799200","771300","771300","723900","797300"
"37","Census Tract 30, District of Columbia, District of Columbia","35.6","38.6","38.6","33.7",0.284603235419327,"52228","60459","60459","63309","43167","632400","613200","613200","556600","636000"
"38","Census Tract 31, District of Columbia, District of Columbia","9.7","26.3","26.3","42.0",0.120382978723404,"69063","74637","74637","63750","53007","404100","379600","379600","379300","404700"
"39","Census Tract 32, District of Columbia, District of Columbia","29.8","23.6","23.6","13.7",0.19712284602557,"50665","62361","62361","67988","48011","379200","363400","363400","380800","376700"
"40","Census Tract 33.01, District of Columbia, District of Columbia","54.1","40.4","40.4","51.2",0.256140387858347,"83285","86101","86101","93903","80873","563300","547300","547300","535500","549900"
"41","Census Tract 33.02, District of Columbia, District of Columbia","48.1","64.6","64.6","49.5",0.326277966101695,"80039","97216","97216","87393","79500","514500","517100","517100","570900","490100"
"42","Census Tract 34, District of Columbia, District of Columbia","6.6","5.9","5.9","6.5",0.137730939498278,"30603","46365","46365","70263","25466","408400","371600","371600","500900","410300"
"43","Census Tract 35, District of Columbia, District of Columbia","3.4","11.8","11.8","8.8",0.159144124168514,"41136","63510","63510","66830","32227","405800","457600","457600","410500","438200"
"44","Census Tract 36, District of Columbia, District of Columbia","53.6","54.6","54.6","63.3",0.245226307189542,"46034","47656","47656","75505","41016","530800","579700","579700","629400","515100"
"45","Census Tract 37, District of Columbia, District of Columbia","14.2","19.5","19.5","21.2",0.177949298813376,"52292","60324","60324","58663","40066","419900","423300","423300","440500","420700"
"46","Census Tract 38, District of Columbia, District of Columbia","73.9","58.5","58.5","65.2",0.368300810735253,"76121","79120","79120","93461","72536","605700","583200","583200","586200","586500"
"47","Census Tract 39, District of Columbia, District of Columbia","93.7","100.0","100.0","94.1",0.426597738287561,"72466","76107","76107","80750","72825","377300","405900","405900","427000","384600"
"48","Census Tract 4, District of Columbia, District of Columbia","21.8","28.1","28.1","83.6",0.356731304347826,"158580","182578","182578","233250","176494","1,000,000+","1,000,000+","1,000,000+","1,000,000+","1,000,000+"
"49","Census Tract 40.01, District of Columbia, District of Columbia","86.5","100.0","100.0","100.0",0.389754716981132,"100439","98425","98425","102757","101288","564700","500000","500000","507400","517400"
"50","Census Tract 40.02, District of Columbia, District of Columbia","88.0","86.8","86.8","95.7",0.389639614855571,"85368","89189","89189","89675","86818","577400","576500","576500","566300","571000"
"51","Census Tract 41, District of Columbia, District of Columbia","85.8","83.8","83.8","54.3",0.351805033959249,"97500","105341","105341","114602","91190","1,000,000+","942000","942000","1,000,000+","935000"
"52","Census Tract 42.01, District of Columbia, District of Columbia","86.2","79.0","79.0","99.7",0.385066646191646,"86406","89353","89353","89851","90735","464100","456900","456900","501800","456300"
"53","Census Tract 42.02, District of Columbia, District of Columbia","82.6","65.2","65.2","63.5",0.44605209656925,"83588","81326","81326","90707","88679","575800","532000","532000","490200","572100"
"54","Census Tract 43, District of Columbia, District of Columbia","90.5","88.7","88.7","90.2",0.304321821631879,"51016","64959","64959","71021","53583","712100","756800","756800","669500","654300"
"55","Census Tract 44, District of Columbia, District of Columbia","67.8","68.2","68.2","76.1",0.33385032537961,"98030","101853","101853","119638","97841","623800","595700","595700","599900","647900"
"56","Census Tract 46, District of Columbia, District of Columbia","27.9","48.1","48.1","79.8",0.191878683693517,"76623","78257","78257","80985","51319","472400","466000","466000","465000","456400"
"57","Census Tract 48.01, District of Columbia, District of Columbia","32.1","39.5","39.5","40.6",0.24906567366283,"76618","82866","82866","86629","73814","551600","569900","569900","568700","553500"
"58","Census Tract 48.02, District of Columbia, District of Columbia","28.8","31.5","31.5","45.9",0.209669941060904,"42244","57943","57943","61875","39796","508600","460600","460600","469700","481600"
"59","Census Tract 49.01, District of Columbia, District of Columbia","0.0","25.6","25.6","20.9",0.212910552061495,"52375","50948","50948","52824","49063","799300","686500","686500","715800","742100"
"60","Census Tract 49.02, District of Columbia, District of Columbia","80.3","49.4","49.4","55.2",0.261936201063316,"78482","89267","89267","93203","66422","590200","573300","573300","519100","616500"
"61","Census Tract 5.01, District of Columbia, District of Columbia","70.1","77.0","77.0","75.3",0.375119972963839,"87415","89191","89191","95556","92109","663500","661500","661500","975000","595600"
"62","Census Tract 5.02, District of Columbia, District of Columbia","86.5","100.0","100.0","100.0",0.380210806697108,"95694","104375","104375","115216","94598","924000","953500","953500","926300","852300"
"63","Census Tract 52.01, District of Columbia, District of Columbia","71.7","85.6","85.6","85.4",0.304112775518939,"64811","72340","72340","92255","62854","487700","474800","474800","491900","504900"
"64","Census Tract 53.01, District of Columbia, District of Columbia","97.0","93.5","93.5","84.9",0.273622807017544,"91638","93006","93006","83393","85355","440300","467800","467800","463100","444100"
"65","Census Tract 55, District of Columbia, District of Columbia","78.3","70.0","70.0","73.6",0.401475257523733,"88831","94489","94489","96793","88458","562700","594300","594300","552800","552900"
"66","Census Tract 56, District of Columbia, District of Columbia","63.5","44.2","44.2","32.7",0.299109493954322,"61806","64028","64028","70793","69929","386100","395500","395500","503200","389000"
"67","Census Tract 58, District of Columbia, District of Columbia","73.3","69.9","69.9","62.6",0.331848396501458,"119167","120329","120329","118194","107208","476000","473800","473800","471000","451400"
"68","Census Tract 59, District of Columbia, District of Columbia","78.6","80.5","80.5","89.7",0.318272727272727,"66790","83911","83911","83977","52130","471600","463500","463500","459400","470700"
"69","Census Tract 6, District of Columbia, District of Columbia","58.3","66.1","66.1","76.8",0.246038246669532,"115648","113922","113922","125921","110000","1,000,000+","1,000,000+","1,000,000+","979600","1,000,000+"
"70","Census Tract 62.02, District of Columbia, District of Columbia","-","-","-","-",NA,"-","-","-","-","-","-","-","-","-","-"
"71","Census Tract 64, District of Columbia, District of Columbia","12.8","0.0","0.0","0.0",0.101656502800249,"21191","20965","20965","20321","18774","367800","366700","366700","358500","369600"
"72","Census Tract 65, District of Columbia, District of Columbia","100.0","98.5","98.5","81.2",0.452881578947368,"113542","127963","127963","132794","117083","726400","719400","719400","698700","701400"
"73","Census Tract 66, District of Columbia, District of Columbia","71.1","69.7","69.7","74.2",0.412943396226415,"94878","123170","123170","158286","91141","791700","832600","832600","910100","725500"
"74","Census Tract 67, District of Columbia, District of Columbia","80.1","82.1","82.1","74.0",0.334478043357421,"141004","145313","145313","137143","135573","765800","753800","753800","759800","733400"
"75","Census Tract 68.01, District of Columbia, District of Columbia","53.8","43.0","43.0","28.9",0.348239234449761,"77955","83618","83618","85114","64769","453700","453300","453300","467600","445500"
"76","Census Tract 68.02, District of Columbia, District of Columbia","29.4","39.6","39.6","38.1",0.202348204570185,"86719","99500","99500","104239","72885","474700","509800","509800","512100","479600"
"77","Census Tract 68.04, District of Columbia, District of Columbia","0.5","0.0","0.0","0.0",0.0128512396694215,"-","-","-","-","-","-","-","-","-","-"
"78","Census Tract 69, District of Columbia, District of Columbia","22.9","43.3","43.3","70.0",0.189002200220022,"115299","118500","118500","111667","110865","590700","593800","593800","644000","558900"
"79","Census Tract 7.01, District of Columbia, District of Columbia","92.5","64.8","64.8","49.7",0.318507007007007,"79649","81039","81039","70515","77019","393100","395200","395200","374800","411200"
"80","Census Tract 7.02, District of Columbia, District of Columbia","92.6","90.6","90.6","75.7",0.407495016611296,"63794","66352","66352","70033","56875","326500","328700","328700","286100","345100"
"81","Census Tract 70, District of Columbia, District of Columbia","29.9","23.0","23.0","20.3",0.326211529732183,"92656","102054","102054","98281","87314","555500","579200","579200","657600","555500"
"82","Census Tract 71, District of Columbia, District of Columbia","19.1","35.3","35.3","37.4",0.178902325581395,"29493","39861","39861","72941","29063","461500","433800","433800","443000","505100"
"83","Census Tract 72, District of Columbia, District of Columbia","100.0","72.4","72.4","58.2",0.236092402464066,"47885","80313","80313","91458","33911","360800","392000","392000","403400","369100"
"84","Census Tract 73.01, District of Columbia, District of Columbia","14.8","10.4","10.4","8.0",0.152753303964758,"64821","66990","66990","72629","68333","-","-","-","-","-"
"85","Census Tract 73.04, District of Columbia, District of Columbia","6.8","0.0","0.0","0.0",0.0819378323108384,"31856","32000","32000","23867","36467","278300","265900","265900","246600","268400"
"86","Census Tract 74.01, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0817112582781457,"19238","16000","16000","15393","18472","246400","258800","258800","251400","220800"
"87","Census Tract 74.03, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0249066435084672,"27333","31647","31647","27652","29912","229800","221300","221300","205000","154500"
"88","Census Tract 74.04, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.119085158150852,"26250","26681","26681","28347","29595","292000","286600","286600","247800","281900"
"89","Census Tract 74.06, District of Columbia, District of Columbia","3.4","3.7","3.7","4.6",0.0458164524421594,"27838","27333","27333","21484","28403","322100","350000","350000","316700","310700"
"90","Census Tract 74.07, District of Columbia, District of Columbia","7.6","6.7","6.7","11.3",0.0561648351648352,"36453","36332","36332","37586","36810","239700","261400","261400","248600","229200"
"91","Census Tract 74.08, District of Columbia, District of Columbia","15.0","10.1","10.1","4.1",0.0340890973036342,"17826","19175","19175","25058","17956","825000","472200","472200","390700","148800"
"92","Census Tract 74.09, District of Columbia, District of Columbia","3.4","3.2","3.2","0.0",0.052553105310531,"26636","25369","25369","26862","30476","312200","318600","318600","275300","281600"
"93","Census Tract 75.02, District of Columbia, District of Columbia","4.2","5.8","5.8","1.8",0.0836413708690331,"31179","31458","31458","19559","34583","314500","293100","293100","251400","303200"
"94","Census Tract 75.03, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0296623644811564,"31551","30313","30313","33512","34496","261500","235500","235500","247700","232300"
"95","Census Tract 75.04, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0459571788413098,"20625","19519","19519","17372","18545","215600","195300","195300","217000","213700"
"96","Census Tract 76.01, District of Columbia, District of Columbia","0.0","0.0","0.0","4.0",0.0801205230244457,"37687","40681","40681","43256","31949","283600","284400","284400","264300","259600"
"97","Census Tract 76.03, District of Columbia, District of Columbia","0.0","0.0","0.0","19.2",0.160422088572991,"49744","49458","49458","53701","48246","240600","254400","254400","274200","234100"
"98","Census Tract 76.04, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.10677446954141,"43968","51074","51074","52764","44087","403100","414200","414200","362500","316800"
"99","Census Tract 76.05, District of Columbia, District of Columbia","3.5","4.0","4.0","1.7",0.0838641341546886,"42152","41773","41773","42222","40186","268100","257500","257500","258000","271100"
"100","Census Tract 77.03, District of Columbia, District of Columbia","8.0","3.3","3.3","0.0",0.0799249492900608,"31955","32220","32220","31737","33973","229300","235300","235300","221900","231500"
"101","Census Tract 77.07, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0886758409785933,"38571","46680","46680","49068","30708","246500","247200","247200","260400","236900"
"102","Census Tract 77.08, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0760889570552147,"35534","29063","29063","26761","33908","231700","217500","217500","195000","219300"
"103","Census Tract 77.09, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0733760683760684,"25451","28490","28490","33396","35357","236600","245300","245300","229800","263100"
"104","Census Tract 78.03, District of Columbia, District of Columbia","18.8","20.5","20.5","16.0",0.121817915445793,"22685","25577","25577","32750","23099","250400","248300","248300","222300","234300"
"105","Census Tract 78.04, District of Columbia, District of Columbia","11.2","0.0","0.0","0.0",0.0594303296703297,"25208","26833","26833","36484","17500","225900","267100","267100","208800","251300"
"106","Census Tract 78.06, District of Columbia, District of Columbia","13.1","11.1","11.1","8.4",0.0756344389555399,"42171","42390","42390","37755","39639","255700","239500","239500","237800","215800"
"107","Census Tract 78.07, District of Columbia, District of Columbia","0.0","0.0","0.0","8.4",0.0382299293513166,"27917","26989","26989","28854","30345","232400","185000","185000","181500","231100"
"108","Census Tract 78.08, District of Columbia, District of Columbia","3.2","0.0","0.0","11.0",0.0610338329764454,"27531","24375","24375","31037","26688","232100","230500","230500","212200","204000"
"109","Census Tract 78.09, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.106762573629361,"22109","21332","21332","34054","27969","211300","211800","211800","191900","202200"
"110","Census Tract 79.01, District of Columbia, District of Columbia","18.5","8.6","8.6","10.8",0.100268789337282,"32692","31765","31765","38155","40614","389100","360500","360500","364400","386800"
"111","Census Tract 79.03, District of Columbia, District of Columbia","7.7","0.0","0.0","26.5",0.14896701754386,"43304","43000","43000","42219","44360","294400","302000","302000","296400","293900"
"112","Census Tract 8.01, District of Columbia, District of Columbia","20.8","20.2","20.2","19.4",0.310374558960074,"114732","118569","118569","119641","114098","708800","735500","735500","801800","724400"
"113","Census Tract 8.02, District of Columbia, District of Columbia","74.7","74.0","74.0","88.0",0.363728971962617,"92000","92384","92384","113523","109698","771600","739400","739400","835800","767400"
"114","Census Tract 80.01, District of Columbia, District of Columbia","58.8","63.9","63.9","57.0",0.27618156424581,"89128","94931","94931","100969","89234","483200","497200","497200","544900","476900"
"115","Census Tract 80.02, District of Columbia, District of Columbia","36.9","34.4","34.4","51.9",0.206849814126394,"92874","96385","96385","108478","85824","483800","513200","513200","523100","469800"
"116","Census Tract 81, District of Columbia, District of Columbia","29.0","40.2","40.2","60.5",0.317081978798587,"132321","128523","128523","127179","130195","645000","656900","656900","688800","640200"
"117","Census Tract 82, District of Columbia, District of Columbia","70.9","71.3","71.3","44.0",0.507759663865546,"83214","85484","85484","92385","82500","788900","764700","764700","759300","807500"
"118","Census Tract 83.01, District of Columbia, District of Columbia","70.6","64.3","64.3","68.2",0.365613300492611,"115216","121058","121058","130536","112143","637900","669300","669300","652000","676200"
"119","Census Tract 83.02, District of Columbia, District of Columbia","100.0","95.0","95.0","91.0",0.408822519083969,"101667","96823","96823","116875","110563","634000","621500","621500","625000","603200"
"120","Census Tract 84.02, District of Columbia, District of Columbia","66.1","61.2","61.2","81.7",0.26950065416485,"54683","64261","64261","88516","61000","558100","563300","563300","591600","519700"
"121","Census Tract 84.10, District of Columbia, District of Columbia","0.0","9.1","9.1","31.2",0.276091603053435,"96667","104710","104710","102900","96417","379100","392500","392500","398400","444100"
"122","Census Tract 87.01, District of Columbia, District of Columbia","0.0","6.2","6.2","25.5",0.154351437699681,"64464","54750","54750","57212","66563","386100","401900","401900","414100","374600"
"123","Census Tract 87.02, District of Columbia, District of Columbia","26.1","28.2","28.2","19.9",0.0619231707317073,"41232","51650","51650","54259","31417","363800","360300","360300","356700","400600"
"124","Census Tract 88.02, District of Columbia, District of Columbia","15.5","16.2","16.2","15.7",0.160289855072464,"38859","41746","41746","39613","40302","345600","339600","339600","317300","351100"
"125","Census Tract 88.03, District of Columbia, District of Columbia","9.5","5.2","5.2","15.0",0.151644305772231,"37833","27344","27344","18785","29837","309300","236900","236900","225500","241100"
"126","Census Tract 88.04, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0391909814323607,"25978","26615","26615","27441","28609","255600","256200","256200","237400","245800"
"127","Census Tract 89.03, District of Columbia, District of Columbia","0.0","0.0","0.0","7.0",0.073071129707113,"26556","30020","30020","34080","25597","236400","238900","238900","233100","237500"
"128","Census Tract 89.04, District of Columbia, District of Columbia","0.0","3.6","3.6","7.0",0.0649714912280702,"27620","27601","27601","30295","22195","297600","259600","259600","216500","311100"
"129","Census Tract 9.01, District of Columbia, District of Columbia","3.2","1.9","1.9","2.5",0.143255639097744,"213889","219583","219583","201250","209931","1,000,000+","1,000,000+","1,000,000+","1,000,000+","1,000,000+"
"130","Census Tract 9.02, District of Columbia, District of Columbia","0.0","0.0","0.0","13.8",0.45287153652393,"163750","179167","179167","185500","162548","904200","928000","928000","962600","911700"
"131","Census Tract 90, District of Columbia, District of Columbia","51.8","47.1","47.1","29.6",0.0970510915002322,"39653","32287","32287","31740","36047","331100","351600","351600","327800","317200"
"132","Census Tract 91.02, District of Columbia, District of Columbia","8.1","4.1","4.1","4.6",0.0726,"32806","31544","31544","35685","23580","298000","287200","287200","283300","293000"
"133","Census Tract 92.01, District of Columbia, District of Columbia","0.0","8.8","8.8","5.8",0.128377416073245,"44939","41902","41902","50677","43629","282100","288100","288100","293500","271200"
"134","Census Tract 92.03, District of Columbia, District of Columbia","31.3","51.9","51.9","33.9",0.195237936772047,"51726","46159","46159","63073","50154","301300","295200","295200","326300","333100"
"135","Census Tract 92.04, District of Columbia, District of Columbia","4.2","0.0","0.0","0.0",0.0667177419354839,"28814","31290","31290","24489","28420","243100","241300","241300","236900","331600"
"136","Census Tract 93.01, District of Columbia, District of Columbia","6.9","18.4","18.4","31.7",0.198773242630385,"72578","75833","75833","78415","74113","408500","409500","409500","424300","405100"
"137","Census Tract 93.02, District of Columbia, District of Columbia","64.4","55.9","55.9","44.6",0.0929848341232227,"63958","65700","65700","58424","78929","399000","391600","391600","373300","458200"
"138","Census Tract 94, District of Columbia, District of Columbia","22.6","27.3","27.3","4.0",0.20280577269994,"70990","69639","69639","69701","71316","397200","380100","380100","384000","392800"
"139","Census Tract 95.01, District of Columbia, District of Columbia","2.7","5.9","5.9","6.5",0.0764510105448155,"40536","40528","40528","45144","44583","291300","293300","293300","306100","290200"
"140","Census Tract 95.03, District of Columbia, District of Columbia","11.2","9.1","9.1","0.0",0.282750759878419,"70875","77451","77451","79000","81250","382300","381100","381100","364600","371200"
"141","Census Tract 95.04, District of Columbia, District of Columbia","8.4","0.0","0.0","6.3",0.121783554196398,"50500","52095","52095","61875","46758","348500","352200","352200","359600","333100"
"142","Census Tract 95.05, District of Columbia, District of Columbia","14.4","20.9","20.9","13.4",0.205322049835449,"62462","66591","66591","63661","60750","354800","356600","356600","330300","337300"
"143","Census Tract 95.07, District of Columbia, District of Columbia","11.5","0.0","0.0","0.0",0.178815691158157,"62986","52981","52981","53646","59444","329600","331300","331300","310100","322600"
"144","Census Tract 95.08, District of Columbia, District of Columbia","12.9","18.8","18.8","41.0",0.156761363636364,"47410","51525","51525","54500","46092","328700","314800","314800","316900","319200"
"145","Census Tract 95.09, District of Columbia, District of Columbia","18.2","27.8","27.8","37.3",0.178264150943396,"59286","66341","66341","62432","58000","322500","328700","328700","324700","312400"
"146","Census Tract 96.01, District of Columbia, District of Columbia","0.0","0.0","0.0","18.9",0.134443681318681,"40929","45000","45000","26620","22300","321200","253600","253600","302300","316700"
"147","Census Tract 96.02, District of Columbia, District of Columbia","2.5","5.1","5.1","4.7",0.0376387096774194,"24786","25307","25307","21927","23696","216700","226400","226400","260600","228400"
"148","Census Tract 96.03, District of Columbia, District of Columbia","6.9","6.9","6.9","5.4",0.099094958968347,"38404","41898","41898","39268","37371","237800","212100","212100","210400","204900"
"149","Census Tract 96.04, District of Columbia, District of Columbia","0.0","2.9","2.9","1.8",0.129546697038724,"37441","43588","43588","48641","39844","223600","229900","229900","204100","197700"
"150","Census Tract 97, District of Columbia, District of Columbia","2.4","2.3","2.3","3.0",0.0849813508064516,"31549","30821","30821","32595","36250","276600","273600","273600","248400","246700"
"151","Census Tract 98.01, District of Columbia, District of Columbia","0.0","3.9","3.9","19.3",0.0680894736842105,"31917","28900","28900","27100","31875","276300","225000","225000","171000","264100"
"152","Census Tract 98.02, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0155779005524862,"23633","24464","24464","25086","28000","263800","254900","254900","122800","218900"
"153","Census Tract 98.03, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0580979178390546,"30625","26471","26471","19345","27061","249000","275000","275000","230600","287500"
"154","Census Tract 98.04, District of Columbia, District of Columbia","0.0","4.9","4.9","4.5",0.0342801258992806,"46554","50156","50156","44356","43275","232500","228600","228600","239600","218800"
"155","Census Tract 98.07, District of Columbia, District of Columbia","6.1","0.0","0.0","0.0",0.0726111111111111,"42420","38500","38500","35727","41263","254700","243600","243600","225900","254700"
"156","Census Tract 99.01, District of Columbia, District of Columbia","51.1","51.8","51.8","24.5",0.220434042553191,"76736","80036","80036","86500","74028","415700","360700","360700","342400","423900"
"157","Census Tract 99.02, District of Columbia, District of Columbia","29.5","28.3","28.3","0.0",0.164599130434783,"51400","52379","52379","42052","54896","264400","248800","248800","236400","261600"
"158","Census Tract 99.03, District of Columbia, District of Columbia","22.7","27.3","27.3","6.6",0.211820213799806,"52554","54667","54667","62219","41652","272900","277100","277100","263800","267800"
"159","Census Tract 99.04, District of Columbia, District of Columbia","9.4","8.3","8.3","10.4",0.0359586038961039,"35302","37931","37931","35478","26926","228300","228500","228500","210800","222200"
"160","Census Tract 99.05, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0472567344694887,"35186","36185","36185","38310","32080","259000","277200","277200","232200","229300"
"161","Census Tract 99.06, District of Columbia, District of Columbia","0.0","5.6","5.6","7.1",0.0939058507061197,"34269","40085","40085","42240","34476","173700","206400","206400","203000","165900"
"162","Census Tract 99.07, District of Columbia, District of Columbia","0.0","0.0","0.0","0.0",0.0226471251409245,"26612","24459","24459","23607","25482","213700","227800","227800","219600","212500"
